"rt" "key_press" "correct_response" "correct" "condition" "stim_color" "stim_word" "session" "subj" "stim" "rtoutlier"
713 71 71 "TRUE" "congruent" "green" "green" "2" 10 "A" NA
638 82 82 "TRUE" "congruent" "red" "red" "2" 10 "A" NA
517 71 71 "TRUE" "congruent" "green" "green" "2" 10 "A" NA
1211 71 71 "TRUE" "incongruent" "green" "red" "2" 10 "A" NA
665 82 82 "TRUE" "congruent" "red" "red" "2" 10 "A" NA
871 82 82 "TRUE" "incongruent" "red" "blue" "2" 10 "A" NA
908 66 66 "TRUE" "congruent" "blue" "blue" "2" 10 "A" NA
627 66 66 "TRUE" "congruent" "blue" "blue" "2" 10 "A" NA
560 82 82 "TRUE" "congruent" "red" "red" "2" 10 "A" NA
664 82 82 "TRUE" "incongruent" "red" "green" "2" 10 "A" NA
982 71 71 "TRUE" "incongruent" "green" "red" "2" 10 "A" NA
504 71 71 "TRUE" "congruent" "green" "green" "2" 10 "A" NA
590 66 66 "TRUE" "congruent" "blue" "blue" "2" 10 "A" NA
620 71 71 "TRUE" "congruent" "green" "green" "2" 10 "A" NA
896 66 82 "FALSE" "incongruent" "red" "blue" "2" 10 "A" NA
702 66 66 "TRUE" "incongruent" "blue" "green" "2" 10 "A" NA
861 66 66 "TRUE" "incongruent" "blue" "red" "2" 10 "A" NA
786 71 71 "TRUE" "incongruent" "green" "blue" "2" 10 "A" NA
630 71 71 "TRUE" "congruent" "green" "green" "2" 10 "A" NA
650 82 82 "TRUE" "congruent" "red" "red" "2" 10 "A" NA
751 82 82 "TRUE" "incongruent" "red" "blue" "2" 10 "A" NA
605 71 71 "TRUE" "congruent" "green" "green" "2" 10 "A" NA
732 82 82 "TRUE" "congruent" "red" "red" "2" 10 "A" NA
856 66 66 "TRUE" "incongruent" "blue" "green" "2" 10 "A" NA
662 82 82 "TRUE" "congruent" "red" "red" "2" 10 "A" NA
475 71 71 "TRUE" "incongruent" "green" "blue" "2" 10 "A" NA
535 71 71 "TRUE" "congruent" "green" "green" "2" 10 "A" NA
881 82 82 "TRUE" "incongruent" "red" "blue" "2" 10 "A" NA
710 71 71 "TRUE" "congruent" "green" "green" "2" 10 "A" NA
669 82 82 "TRUE" "congruent" "red" "red" "2" 10 "A" NA
890 66 66 "TRUE" "congruent" "blue" "blue" "2" 10 "A" NA
607 82 82 "TRUE" "congruent" "red" "red" "2" 10 "A" NA
836 66 66 "TRUE" "incongruent" "blue" "green" "2" 10 "A" NA
802 66 66 "TRUE" "congruent" "blue" "blue" "2" 10 "A" NA
710 82 82 "TRUE" "incongruent" "red" "green" "2" 10 "A" NA
460 82 82 "TRUE" "congruent" "red" "red" "2" 10 "A" NA
477 82 82 "TRUE" "congruent" "red" "red" "2" 10 "A" NA
932 71 71 "TRUE" "incongruent" "green" "red" "2" 10 "A" NA
800 66 66 "TRUE" "incongruent" "blue" "red" "2" 10 "A" NA
669 71 71 "TRUE" "congruent" "green" "green" "2" 10 "A" NA
923 82 82 "TRUE" "congruent" "red" "red" "2" 10 "A" NA
745 82 82 "TRUE" "incongruent" "red" "green" "2" 10 "A" NA
880 66 66 "TRUE" "congruent" "blue" "blue" "2" 10 "A" NA
830 71 71 "TRUE" "incongruent" "green" "red" "2" 10 "A" NA
976 82 82 "TRUE" "incongruent" "red" "blue" "2" 10 "A" NA
1101 82 82 "TRUE" "incongruent" "red" "green" "2" 10 "A" NA
921 66 66 "TRUE" "incongruent" "blue" "red" "2" 10 "A" NA
862 71 71 "TRUE" "congruent" "green" "green" "2" 10 "A" NA
773 82 82 "TRUE" "incongruent" "red" "green" "2" 10 "A" NA
1099 71 71 "TRUE" "incongruent" "green" "red" "2" 10 "A" NA
842 82 82 "TRUE" "congruent" "red" "red" "2" 10 "A" NA
989 66 66 "TRUE" "incongruent" "blue" "red" "2" 10 "A" NA
1394 82 82 "TRUE" "incongruent" "red" "blue" "2" 10 "A" NA
